| **#** | **Command**                        | **Description**                                                       |
| ----: | ---------------------------------- | --------------------------------------------------------------------- |
|     1 | `git init`                         | Initialize a new Git repository in the current folder.                |
|     2 | `git status`                       | Show the current state of the working directory and staging area.     |
|     3 | `git add filename.html`            | Stage a specific file for commit.                                     |
|     4 | `git add .`                        | Stage all changed files for commit.                                   |
|     5 | `git commit -m "message"`          | Commit the staged changes with a message.                             |
|     6 | `git log`                          | View the commit history.                                              |
|     7 | `git remote add origin <repo-url>` | Link your local repo to a remote Git repository (e.g., GitHub).       |
|     8 | `git push -u origin main`          | Push your commits to the remote `main` branch (first time with `-u`). |
|     9 | `git pull`                         | Pull the latest changes from the remote repository.                   |
|    10 | `git clone <repo-url>`             | Clone a repository from GitHub or another remote.                     |
|    11 | `git branch`                       | List all branches.                                                    |
|    12 | `git branch branch-name`           | Create a new branch.                                                  |
|    13 | `git checkout branch-name`         | Switch to a different branch.                                         |
|    14 | `git merge branch-name`            | Merge a branch into the current branch.                               |
|    15 | `git push origin branch-name`      | Push a specific branch to the remote repository.                      |
